amenities,bathrooms,bedrooms,beds,city,country,host_id,host_name,image_url,listingId,listingLat,listingLng,location,personCapacity,ratings,roomType,state,title
"[{'Entertainment': ['TV']}, {'Heating and cooling': ['Window AC unit']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Cooking basics', 'Coffee maker']}, {'Parking and facilities': ['Free parking on premises']}, {'Services': ['Long term stays allowed']}, {'Not included': ['Security cameras on property', 'Washer', 'Hair dryer', 'Essentials', 'Shampoo', 'Private entrance', 'Heating']}]",1 bath,1 bedroom,1 bed,Springdale, United States,47856403,Entire rental unit hosted by Omar,https://a0.muscache.com/pictures/miso/Hosting-705316371465148981/original/2b57135d-a1bf-46ff-b864-92d0f27644d6.jpeg,705316371465148981,-94.12617019999999,36.1781139,Springdale,3,"{'accuracyRating': 5, 'checkinRating': 4.92, 'cleanlinessRating': 5, 'communicationRating': 4.92, 'locationRating': 4.58, 'valueRating': 4.83, 'guestSatisfactionOverall': 4.92, 'visibleReviewCount': '12'}",Entire home/apt, Arkansas,Modern 1 bedroom apartment in Historic Downtown
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Safe', 'Clothing storage']}, {'Entertainment': ['50"" HDTV with Hulu, Apple TV, Netflix, Disney+, Amazon Prime Video, HBO Max', 'Bluetooth sound system', 'Books and reading material']}, {'Family': ['Children’s books and toys for ages 2-5 years old and 5-10 years old', 'Board games']}, {'Heating and cooling': ['Central air conditioning', 'Central heating']}, {'Home safety': ['Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Gas stove', 'Oven', 'Hot water kettle', 'Coffee maker: drip coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Blender', 'Barbecue utensils', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance', 'Laundromat nearby']}, {'Outdoor': ['Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill']}, {'Parking and facilities': ['Free driveway parking on premises']}, {'Services': ['Self check-in', 'Smart lock', 'Long term stays allowed']}]",3.5 baths,3 bedrooms,5 beds,Rogers, United States,447218869,Entire home hosted by Dave And Jenny Marrs,https://a0.muscache.com/pictures/miso/Hosting-572301959943032451/original/42dc369d-a674-4bb5-80cc-ccf779bb7d9f.jpeg,572301959943032451,-94.12993,36.32276,Rogers,8,"{'accuracyRating': 4.88, 'checkinRating': 4.93, 'cleanlinessRating': 5, 'communicationRating': 4.98, 'locationRating': 4.72, 'valueRating': 4.79, 'guestSatisfactionOverall': 4.98, 'visibleReviewCount': '43'}",Entire home/apt, Arkansas,"The Welcome Inn, Rogers"
"[{'Entertainment': ['TV']}, {'Heating and cooling': ['Air conditioning']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen']}, {'Parking and facilities': ['Paid parking on premises']}, {'Services': ['Pets allowed', 'Long term stays allowed']}, {'Not included': ['Security cameras on property', 'Washer', 'Hair dryer', 'Essentials', 'Shampoo', 'Private entrance', 'Heating']}]",1 bath,1 bedroom,1 bed,Fayetteville, United States,24462521,Entire rental unit hosted by Nat,https://a0.muscache.com/pictures/miso/Hosting-742178917213539309/original/a59552ad-e7a4-42b2-af23-d097b45fbcba.jpeg,742178917213539309,-94.16575399999999,36.0625876,Fayetteville,3,"{'accuracyRating': None, 'checkinRating': None, 'cleanlinessRating': None, 'communicationRating': None, 'locationRating': None, 'valueRating': None, 'guestSatisfactionOverall': None, 'visibleReviewCount': None}",Entire home/apt, Arkansas,Superb location *Walk everywhere*
